?place	?placeLabel
<http://www.wikidata.org/entity/Q185485>	"Høng Kommune"@da
<http://www.wikidata.org/entity/Q185669>	"Bryndum Sogn"@da
<http://www.wikidata.org/entity/Q186285>	"Københavns Universitet"@da
<http://www.wikidata.org/entity/Q186331>	"Holsted Kommune"@da
<http://www.wikidata.org/entity/Q187292>	"Brøns Sogn"@da
<http://www.wikidata.org/entity/Q189262>	"Davisstrædet"@da
<http://www.wikidata.org/entity/Q189358>	"Kronborg"@da
<http://www.wikidata.org/entity/Q190235>	"Horsens"@da
<http://www.wikidata.org/entity/Q194201>	"Q194201"
<http://www.wikidata.org/entity/Q194546>	"Q194546"
<http://www.wikidata.org/entity/Q194546>	"Q194546"
<http://www.wikidata.org/entity/Q194567>	"Roskilde Ring"@da
<http://www.wikidata.org/entity/Q195928>	"Virket"@da
<http://www.wikidata.org/entity/Q196134>	"Dansk Sprognævn"@da
<http://www.wikidata.org/entity/Q198606>	"Cathrinesminde Teglværk"@da
<http://www.wikidata.org/entity/Q35>	"Danmark"@da
<http://www.wikidata.org/entity/Q1695>	"Skagerrak"@da
<http://www.wikidata.org/entity/Q1748>	"København"@da
<http://www.wikidata.org/entity/Q2239>	"Kongens Lyngby"@da
<http://www.wikidata.org/entity/Q3801>	"Limfjorden"@da
<http://www.wikidata.org/entity/Q11062>	"Eurovision Song Contest 2001"@da
<http://www.wikidata.org/entity/Q18541>	"Femern Bælt-forbindelsen"@da
<http://www.wikidata.org/entity/Q20679>	"Koresand"@da
<http://www.wikidata.org/entity/Q20684>	"Jordsand"@da
<http://www.wikidata.org/entity/Q20770>	"Nordfyns Kommune"@da
<http://www.wikidata.org/entity/Q20835>	"Hørsholm"@da
<http://www.wikidata.org/entity/Q20837>	"Fanø"@da
<http://www.wikidata.org/entity/Q20999>	"Taastrup"@da
<http://www.wikidata.org/entity/Q21006>	"Glostrup Kommune"@da
<http://www.wikidata.org/entity/Q21101>	"Kolding Kommune"@da
<http://www.wikidata.org/entity/Q21104>	"Ærø Kommune"@da
<http://www.wikidata.org/entity/Q21108>	"Sønderborg Kommune"@da
<http://www.wikidata.org/entity/Q21140>	"Middelfart Kommune"@da
<http://www.wikidata.org/entity/Q21142>	"Varde Kommune"@da
<http://www.wikidata.org/entity/Q21143>	"Haderslev Kommune"@da
<http://www.wikidata.org/entity/Q21145>	"Fredericia Kommune"@da
<http://www.wikidata.org/entity/Q21146>	"Odense Kommune"@da
<http://www.wikidata.org/entity/Q21150>	"Vejen Kommune"@da
<http://www.wikidata.org/entity/Q21151>	"Sorø Kommune"@da
<http://www.wikidata.org/entity/Q21152>	"Aabenraa Kommune"@da
<http://www.wikidata.org/entity/Q21156>	"Mandø"@da
<http://www.wikidata.org/entity/Q21158>	"Nørrejyske Ø"@da
<http://www.wikidata.org/entity/Q21176>	"Viborg"@da
<http://www.wikidata.org/entity/Q21178>	"Næstved"@da
<http://www.wikidata.org/entity/Q21179>	"Sønderborg"@da
<http://www.wikidata.org/entity/Q21180>	"Silkeborg"@da
<http://www.wikidata.org/entity/Q21181>	"Fredericia"@da
<http://www.wikidata.org/entity/Q21182>	"Svendborg Kommune"@da
<http://www.wikidata.org/entity/Q21184>	"Køge"@da
<http://www.wikidata.org/entity/Q21185>	"Hjørring"@da
<http://www.wikidata.org/entity/Q21191>	"Rømø"@da
<http://www.wikidata.org/entity/Q24231>	"Nakskov"@da
<http://www.wikidata.org/entity/Q25319>	"Aarhus"@da
<http://www.wikidata.org/entity/Q25331>	"Odense"@da
<http://www.wikidata.org/entity/Q25389>	"Jylland"@da
<http://www.wikidata.org/entity/Q25410>	"Aalborg"@da
<http://www.wikidata.org/entity/Q25535>	"Sjælland"@da
<http://www.wikidata.org/entity/Q26061>	"Region Syddanmark"@da
<http://www.wikidata.org/entity/Q26067>	"Region Nordjylland"@da
<http://www.wikidata.org/entity/Q26073>	"Region Hovedstaden"@da
<http://www.wikidata.org/entity/Q26080>	"Vadehavet"@da
<http://www.wikidata.org/entity/Q26167>	"Hertugdømmet Slesvig"@da
<http://www.wikidata.org/entity/Q26234>	"Esbjerg"@da
<http://www.wikidata.org/entity/Q26503>	"Fyn"@da
<http://www.wikidata.org/entity/Q26563>	"Roskilde"@da
<http://www.wikidata.org/entity/Q26586>	"Region Midtjylland"@da
<http://www.wikidata.org/entity/Q26589>	"Region Sjælland"@da
<http://www.wikidata.org/entity/Q26881>	"Helsingør"@da
<http://www.wikidata.org/entity/Q27116>	"Vejle"@da
<http://www.wikidata.org/entity/Q27119>	"Kolding"@da
<http://www.wikidata.org/entity/Q27150>	"Ærø"@da
<http://www.wikidata.org/entity/Q27168>	"Randers"@da
<http://www.wikidata.org/entity/Q27393>	"Herning"@da
<http://www.wikidata.org/entity/Q27425>	"Hillerød"@da
<http://www.wikidata.org/entity/Q27452>	"Frederikshavn"@da
<http://www.wikidata.org/entity/Q27524>	"Langeland"@da
<http://www.wikidata.org/entity/Q27678>	"Holstebro"@da
<http://www.wikidata.org/entity/Q27858>	"Sorø"@da
<http://www.wikidata.org/entity/Q27875>	"Billund Kommune"@da
<http://www.wikidata.org/entity/Q27937>	"Nordfrisiske Øer"@da
<http://www.wikidata.org/entity/Q27967>	"Assens Kommune"@da
<http://www.wikidata.org/entity/Q27976>	"Faaborg-Midtfyn Kommune"@da
<http://www.wikidata.org/entity/Q28031>	"Svendborg"@da
<http://www.wikidata.org/entity/Q28042>	"Holbæk"@da
<http://www.wikidata.org/entity/Q28143>	"Ballerup"@da
<http://www.wikidata.org/entity/Q28150>	"Vejle Kommune"@da
<http://www.wikidata.org/entity/Q28167>	"Langli"@da
<http://www.wikidata.org/entity/Q28173>	"Tårnby"@da
<http://www.wikidata.org/entity/Q28230>	"Rødovre"@da
<http://www.wikidata.org/entity/Q29157>	"Vor Frelsers Kirke"@da
<http://www.wikidata.org/entity/Q29868>	"Haderslev"@da
<http://www.wikidata.org/entity/Q29927>	"Slagelse Kommune"@da
<http://www.wikidata.org/entity/Q29969>	"Kerteminde"@da
<http://www.wikidata.org/entity/Q30013>	"Nyborg Kommune"@da
<http://www.wikidata.org/entity/Q30027>	"Q30027"
<http://www.wikidata.org/entity/Q30072>	"Gråsten Kommune"@da
<http://www.wikidata.org/entity/Q30096>	"Frederiksberg"@da
<http://www.wikidata.org/entity/Q31808>	"Nordsøen Oceanarium"@da
<http://www.wikidata.org/entity/Q31828>	"Danmarks Akvarium"@da
<http://www.wikidata.org/entity/Q33003>	"Parken"@da
<http://www.wikidata.org/entity/Q44391>	"Blåvands Huk"@da
<http://www.wikidata.org/entity/Q44609>	"Lille Svenstrup"@da
<http://www.wikidata.org/entity/Q47545>	"Norskehavet"@da
<http://www.wikidata.org/entity/Q48592>	"Noma"@da
<http://www.wikidata.org/entity/Q48706>	"Tunø"@da
<http://www.wikidata.org/entity/Q56776>	"Hasselø Plantage"@da
<http://www.wikidata.org/entity/Q56851>	"Horreby"@da
<http://www.wikidata.org/entity/Q320153>	"Tønder Kommune (1970-2006)"@da
<http://www.wikidata.org/entity/Q321241>	"Abild Sogn"@da
<http://www.wikidata.org/entity/Q321248>	"Abildgård Kirke"@da
<http://www.wikidata.org/entity/Q321837>	"Tyske Bugt"@da
<http://www.wikidata.org/entity/Q322361>	"Ribe"@da
<http://www.wikidata.org/entity/Q323651>	"Hjordkær Sogn"@da
<http://www.wikidata.org/entity/Q323703>	"Egvad Sogn"@da
<http://www.wikidata.org/entity/Q323759>	"Alssund"@da
<http://www.wikidata.org/entity/Q325121>	"Frøslevlejren"@da
<http://www.wikidata.org/entity/Q326528>	"Børsen"@da
<http://www.wikidata.org/entity/Q329505>	"Sønderjylland"@da
<http://www.wikidata.org/entity/Q330075>	"Nordborg Kommune"@da
<http://www.wikidata.org/entity/Q338037>	"Omø"@da
<http://www.wikidata.org/entity/Q339420>	"Bispebjerg"@da
<http://www.wikidata.org/entity/Q339523>	"Humble Sogn"@da
<http://www.wikidata.org/entity/Q340165>	"Torkilstrup"@da
<http://www.wikidata.org/entity/Q345017>	"Østerport"@da
<http://www.wikidata.org/entity/Q346802>	"Sæby"@da
<http://www.wikidata.org/entity/Q346847>	"Thuleulykken"@da
<http://www.wikidata.org/entity/Q351845>	"Konti-Skan"@da
<http://www.wikidata.org/entity/Q359027>	"Marienlyst Slot"@da
<http://www.wikidata.org/entity/Q367402>	"Indre By"@da
<http://www.wikidata.org/entity/Q367582>	"Ellested Sogn"@da
<http://www.wikidata.org/entity/Q367924>	"Mandø Sogn"@da
<http://www.wikidata.org/entity/Q368712>	"Davinde Sogn"@da
<http://www.wikidata.org/entity/Q368838>	"Solbjerg Sogn"@da
<http://www.wikidata.org/entity/Q371297>	"Sønder Kirkeby Sogn"@da
<http://www.wikidata.org/entity/Q376154>	"Københavns bombardement"@da
<http://www.wikidata.org/entity/Q378084>	"Gimlinge Sogn"@da
<http://www.wikidata.org/entity/Q379464>	"Sjællandsbroen"@da
<http://www.wikidata.org/entity/Q382605>	"Dronning Alexandrines Bro"@da
<http://www.wikidata.org/entity/Q384316>	"Skallingen"@da
<http://www.wikidata.org/entity/Q384374>	"Danmarks Skiforbund"@da
<http://www.wikidata.org/entity/Q386402>	"Maribo"@da
<http://www.wikidata.org/entity/Q387174>	"Krummerup Sogn"@da
<http://www.wikidata.org/entity/Q391766>	"Huset på Christianshavn"@da
<http://www.wikidata.org/entity/Q392121>	"Q392121"
<http://www.wikidata.org/entity/Q392344>	"Agedrup Sogn"@da
<http://www.wikidata.org/entity/Q392467>	"Illerup Ådal"@da
<http://www.wikidata.org/entity/Q392992>	"Agerbæk Sogn"@da
<http://www.wikidata.org/entity/Q392999>	"Agerskov Sogn"@da
